No,프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
2624,P3,DPBOM000001801,도장,F1,D1,,D1,2014-08-28,2014-07-21
2625,P3,DPBOM000001802,가공,F6,D2,,D3,2014-06-02,2014-06-02
2626,P3,DPBOM000001803,공작,F6,D4,,D3,2014-06-30,2014-06-30
2627,P3,DPBOM000001804,도장,F1,D1,,D1,2014-08-28,2014-07-21
2628,P3,DPBOM000001805,가공,F6,D2,,D3,2014-06-02,2014-06-02
2629,P3,DPBOM000001806,공작,F6,D4,,D3,2014-06-30,2014-06-30
2630,P3,DPBOM000001807,도장,F1,D1,,D1,2014-08-28,2014-07-21
2631,P3,DPBOM000001808,가공,F6,D2,,D3,2014-06-02,2014-06-02
2632,P3,DPBOM000001809,공작,F6,D4,,D3,2014-06-30,2014-06-30
2633,P3,DPBOM000001810,도장,F1,D1,,D1,2014-07-30,2014-07-21
2634,P3,DPBOM000001811,가공,F6,D2,,D3,2014-05-05,2014-05-05
2635,P3,DPBOM000001812,공작,F6,D4,,D3,2014-05-27,2014-05-27
2636,P3,DPBOM000001813,도장,F1,D1,,D1,2014-07-30,2014-07-21
2637,P3,DPBOM000001814,가공,F6,D2,,D3,2014-05-05,2014-05-05
2638,P3,DPBOM000001815,공작,F6,D4,,D3,2014-05-27,2014-05-27
2639,P3,DPBOM000001816,도장,F1,D1,,D1,2014-07-27,2014-07-21
2640,P3,DPBOM000001817,가공,F6,D2,,D3,2014-05-05,2014-05-05
2641,P3,DPBOM000001818,공작,F6,D4,,D3,2014-05-27,2014-05-27
2642,P3,DPBOM000001819,도장,F1,D1,,D1,2014-07-27,2014-07-21
2643,P3,DPBOM000001820,가공,F6,D2,,D3,2014-05-05,2014-05-05
2644,P3,DPBOM000001821,공작,F6,D4,,D3,2014-05-27,2014-05-27
2645,P3,DPBOM000001822,도장,F1,D1,,D1,2014-08-21,2014-07-21
2646,P3,DPBOM000001823,가공,F6,D2,,D3,2014-06-02,2014-06-02
2647,P3,DPBOM000001824,공작,F6,D4,,D3,2014-06-30,2014-06-30
2648,P3,DPBOM000001825,도장,F1,D1,,D1,2014-08-21,2014-07-21
2649,P3,DPBOM000001826,가공,F6,D2,,D3,2014-06-02,2014-06-02
2650,P3,DPBOM000001827,공작,F6,D4,,D3,2014-06-30,2014-06-30
2651,P3,DPBOM000001828,도장,F1,D1,,D1,2014-08-11,2014-07-21
2652,P3,DPBOM000001829,가공,F2,D2,,D3,2014-09-02,2014-09-02
2653,P3,DPBOM000001830,족장,F3,D3,D6,D4,2014-08-14,2014-06-30
2654,P3,DPBOM000001831,재마킹,F4,D6,,D3,2014-08-14,2014-07-24
2655,P3,DPBOM000001833,가공,F4,D7,,D3,2014-09-02,2014-08-24
2656,P3,DPBOM000001834,의장,F1,D8,,D1,2014-08-10,2014-05-29
2657,P3,DPBOM000001835,공작,F2,D4,,D3,2014-08-14,2014-08-14
2658,P3,DPBOM000001836,철의장,F2,D5,,D3,2014-06-30,2014-04-16
2659,P3,DPBOM000001837,가공,F2,D2,,D3,2014-08-20,2014-08-19
2660,P3,DPBOM000001838,가공,F2,D2,,D3,2014-08-20,2014-08-13
