프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
P3,DPBOM000000361,의장,F1,D8,,D1,2014-08-13,2014-06-01
P3,DPBOM000000362,공작,F2,D4,,D3,2014-08-20,2014-08-19
P3,DPBOM000000363,철의장,F2,D5,,D3,2014-04-03,2014-03-23
P3,DPBOM000000364,가공,F2,D2,,D3,2014-08-10,2014-08-06
P3,DPBOM000001558,가공,F4,D7,,D3,2014-08-10,2014-07-30
P3,DPBOM000000365,가공,F2,D2,,D3,2014-08-07,2014-08-06
P3,DPBOM000000367,가공,F4,D7,,D3,2014-08-07,2014-07-27
P3,DPBOM000001560,가공,F2,D2,,D3,2014-07-30,2014-07-27
P3,DPBOM000001562,가공,F4,D7,,D3,2014-07-30,2014-07-20
P3,DPBOM000000992,도장,F1,D1,,D1,2014-09-28,2014-07-21
P3,DPBOM000000370,가공,F2,D2,,D3,2014-08-25,2014-08-19
P3,DPBOM000000371,족장,F3,D3,D6,D4,2014-08-31,2014-06-16
P3,DPBOM000000993,재마킹,F4,D6,,D3,2014-09-02,2014-08-03
P3,DPBOM000000372,의장,F1,D8,,D1,2014-08-25,2014-05-29
P3,DPBOM000000373,공작,F2,D4,,D3,2014-08-28,2014-08-19
P3,DPBOM000000374,철의장,F2,D5,,D3,2014-04-17,2014-03-31
P3,DPBOM000000375,가공,F2,D2,,D3,2014-08-12,2014-08-07
P3,DPBOM000000377,가공,F4,D7,,D3,2014-08-12,2014-07-30
P3,DPBOM000001564,가공,F2,D2,,D3,2014-08-12,2014-08-07
